No,Type,Refit,Concentration,Grid,Features,Layer,X,Y,Material,MXL(mm),MXW(mm),MXT(mm),Weight(g),Mat_no,Memo,MF
176,FL,23,1 ,J-36（E）,,Y3,2060.2255 ,-249.0293 ,SH,40.75,12.1,9.2,4.27,14,,0
177,FL,8,1 ,J-36（E）,,Y3,2117.4596 ,-187.7360 ,SH,26.4,25.9,3.8,2.18,3,,0
178,FL,,1 ,J-36（E）,,Y3,2182.4062 ,-132.5315 ,SH,21.2,23.9,2.8,1.3,5,,0
179,AH,,1,J-36（E）,,Y3,,,SH,22.65,13.45,3.7,0.67,,Jyomon,0
180,FL,,1 ,J-36（E）,,Y3,2208.3848 ,-222.2389 ,SH,,,,,5,,0
181,CH,,1 ,J-36（E）,,Y3,2242.4817 ,-249.4352 ,SH,18.15,14.55,2.25,0.5,,,0
182,RF,16,1 ,J-36（E）,,Y3,2225.0273 ,-273.7902 ,SH,21.7,20.05,9.4,2.56,6,,0
183,SP,2,1 ,J-35（E）,,Y3,2338.6837 ,-298.5511 ,SH,21.3,8.7,7.6,1.32,2,,1
184,KN,,1 ,J-35（E）,,Y3,2302.5572 ,-355.7852 ,SH,23.95,16.3,2.8,1.21,18,,0
185,CO,17,1 ,J-36（E）,,Y3,2206.3552 ,-366.7449 ,SH,62.6,37.4,16.9,31.34,7,,0
186,FL,,1 ,J-36（E）,,Y3,2116.2419 ,-391.5058 ,SH,26.5,18.3,3.2,0.82,11,,0
187,FL,,1 ,J-36（E）,,Y3,2068.3438 ,-444.6807 ,SH,50.4,35.2,15.5,29.6,7,,0
188,FL,,1 ,J-36（E）,,Y3,2059.8196 ,-459.2937 ,SH,22.9,19.55,4.5,1.18,,,0
189,FL,2,1 ,J-36（E）,,Y3,2272.5195 ,-443.4630 ,SH,22,21.6,5.3,1.38,2,,0
190,石匙,,1,K-35（E）,,Y3,,,SH,62.9,22,6.3,7.38,,Jyomon,0
191,石匙,,1,K-35（E）,,Y3,,,SH,67,26.5,5.4,10.85,,Jyomon,0
192,石匙,,1,K-35（E）,,Y3,,,SH,99.5,25.6,7.2,20.95,,Jyomon,0
193,KN,,2 ,J-38（E）,,Y3,365.5272 ,-134.1552 ,SH,90.7,35.4,15,36.35,19,,1
194,CO,,2 ,K-38（E）,,Y3,394.7531 ,66.3672 ,SH,49.5,36.2,17.2,22.64,,,1
195,RF,,2 ,K-38（E）,,Y3,598.1169 ,115.8890 ,SH,53.5,51.05,8.2,21.18,,,1
196,BL,,2 ,K-37（E）,,Y3,831.9244 ,223.0507 ,SH,53.6,35.2,10.6,23.01,15,,1
197,FL,,2 ,K-38（E）,,Y3,640.3321 ,244.1583 ,SH,43.2,39.7,15.1,16.72,3,,0
198,FL,7,2 ,K-38（E）,,Y3,,,SH,,,,,3,,0
199,FL,,2 ,K-38（E）,,Y3,585.1276 ,197.0721 ,SH,31.45,41.6,6.85,7.01,12,,0
200,FL,,2 ,K-38（E）,,Y3,491.7670 ,239.2874 ,SH,15.4,27.8,7.3,3.22,1,,1
201,FL,7,2 ,K-38（E）,,Y3,405.7128 ,246.5938 ,SH,33.1,23.2,10.1,6.14,3,,0
202,RF,,2 ,K-38（E）,,Y3,250.6530 ,254.7122 ,SH,56.85,26.9,8.85,9.41,,,1
203,FL,,2 ,K-38（E）,,Y3,237.6637 ,316.4114 ,SH,26.7,21.05,9.9,4.04,12,,0
204,FL,,2 ,K-38（E）,,Y3,240.0992 ,355.3793 ,SH,26.2,19,9.4,3.83,3,,1
205,FL,7,2 ,K-38（E）,,Y3,446.3044 ,348.8846 ,SH,,,,,3,,0
206,SS,21,2 ,K-38（E）,,Y3,424.3849 ,378.9224 ,SH,60.65,49.9,10.3,21.75,12,,1
207,RBL,,2 ,K-38（E）,,Y3,501.5089 ,290.4327 ,SH,54.9,26.8,11.7,12.09,25,,1
208,FL,,2 ,K-38（E）,,Y3,531.5467 ,312.3522 ,SH,55.4,36.9,13.7,18.45,3,,1
209,PI,19,2 ,K-38（E）,,Y3,162.1634 ,424.3850 ,SH,35.4,21.4,5.9,3.74,10,,0
210,KN,,2 ,K-38（E）,,Y3,231.9809 ,413.0193 ,SH,116.6,27.9,11.8,28.77,20,,1
211,BL,,2 ,K-38（E）,,Y3,255.5240 ,387.0407 ,SH,112.3,34.9,13.9,55.36,29,,1
212,SP,21,2 ,K-38（E）,,Y3,352.1319 ,408.1483 ,SH,27.9,18.05,7.1,3.04,12,,1
213,FL,8,2 ,K-38（E）,,Y3,417.8903 ,482.8368 ,SH,37.4,24.9,6.9,3.92,3,,0
214,FL,,2 ,K-38（E）,,Y3,443.0571 ,456.0464 ,SH,44.4,48.2,8.9,14.44,3,,1
215,SS,,2 ,K-38（E）,,Y3,434.1269 ,409.7720 ,SH,19.7,21.3,6.7,2.52,,,0
216,AH,,2,K-35（E）,,Y2,,,SH,23.7,13,2.95,0.86,,Jyomon,0
217,FL,,3 ,M-38（E）,,Y3,200.3194 ,1579.6212 ,SH,29.4,8.85,7.9,0.91,16,,0
218,CH,26,3 ,M-38（E）,,Y3,114.2653 ,1575.5621 ,SH,16.4,19.3,7.2,2.32,16,,0
219,FL,22,3 ,M-38（E）,,Y3,37.9531 ,1570.6911 ,SH,41.3,24.3,9.8,,13,,1
220,FL,27,3 ,M-38（E）,,Y3,65.5554 ,1645.3796 ,SH,22.3,22.8,7.1,3.06,16,,0
221,FL,3,3 ,M-38（E）,,Y3,29.8348 ,1677.0410 ,SH,29.2,39.5,10.4,7.61,3,,1
222,FL,,3 ,M-38（E）,,Y3,70.4264 ,1757.4124 ,SH,43.3,26.2,12.1,7.36,3,,0
223,ES,24,3 ,M-38（E）,,Y3,93.9695 ,1880.8108 ,SH,46.8,42.7,10.3,19.34,16,,1
224,RF,,3 ,M-39（E）,,Y3,56.6253 ,1858.0795 ,SH,27.2,24,6.7,4.02,3,,1
225,FL,,3 ,M-39（E）,,Y3,-25.3697 ,1919.7787 ,SH,42.6,54.7,14.2,17.66,13,,0
226,FL,,3 ,M-39（E）,,Y3,-8.3213 ,1810.9932 ,SH,38.3,32.6,7.3,7.2,13,,1
227,BL,,3 ,M-39（E）,,Y3,-26.9934 ,1752.5414 ,SH,47.35,34.4,12.4,25.27,30,,1
228,FL,24,3 ,M-39（E）,,Y3,-79.7625 ,1767.1543 ,SH,40.1,33.8,13.2,16.83,16,,0
229,FL,,3 ,M-39（E）,,Y3,-87.0689 ,1705.4551 ,SH,39.1,38.05,15.55,14.6,13,,0
230,FL,,3 ,M-39（E）,,Y3,-169.0639 ,1682.7239 ,SH,19.9,22.35,9.95,2.23,16,,0
231,FL,,3 ,M-39（E）,,Y3,-125.2250 ,1652.6861 ,SH,14.8,27.75,10.45,4.61,16,,0
232,FL,10,3 ,M-39（E）,,Y3,-20.4988 ,1672.9819 ,SH,34.5,46.55,7.35,7.65,4,,1
233,FL,,3 ,M-39（E）,,Y3,-15.6278 ,1638.0731 ,SH,34.7,28.9,6.1,6.17,1,,1
234,PI,,3 ,M-39（E）,,Y3,-44.0419 ,1655.1216 ,SH,38.4,38.9,12.6,18.18,16,,0
235,FL,4,3 ,M-39（E）,,Y3,-137.4025 ,1594.2342 ,SH,,,,,3,,0
236,FL,6,3 ,M-39（E）,,Y3,-56.2193 ,1602.3525 ,SH,,,,,3,,0
237,FL,,3 ,L-39（E）,,Y3,-169.0639 ,1517.9221 ,SH,45.8,41.1,14.9,25.12,13,,0
238,FL,,3 ,L-39（E）,,Y3,-100.8701 ,1493.5671 ,SH,33.9,29.3,9.5,6.14,16,,0
239,FL,1,3 ,L-39（E）,,Y3,-25.3697 ,1515.4866 ,SH,31.1,32.1,7.51,9.39,1,,1
240,RF,24,3 ,L-39（E）,,Y3,56.6253 ,1504.9327 ,SH,32.45,40.6,8.6,10.72,16,,0
241,FL,,1 ,K-38（E）,,Y3,1476.5186 ,-661.8457 ,SH,29.2,18.7,3.9,1.68,,,0
242,RF,,1 ,K-38（E）,,Y3,1462.7175 ,-281.0967 ,SH,21.6,22.7,6.6,3.83,,,1
243,PI,,2 ,K-38（E）,,Y3,736.1283 ,112.6416 ,SH,43.7,23.8,10.6,8.79,,,1
244,CH,,2 ,K-38（E）,,Y3,699.5958 ,103.7115 ,SH,11.5,18.5,1.8,0.38,3,,0
245,CH,,2 ,K-38（E）,,Y3,667.9344 ,110.2061 ,SH,10.8,7.55,2.5,0.13,,,0
246,CH,,2 ,K-38（E）,,Y3,737.7519 ,233.6045 ,SH,14.35,7.6,3.3,0.39,,,0
247,CH,,2 ,K-38（E）,,Y3,707.7142 ,213.3087 ,SH,13.3,12.2,2.3,0.28,,,0
